name,authors,page,license
"Aether Legacy","115kino, Kingboo177","https://minecraft.curseforge.com/projects/255308","https://minecraft.curseforge.com/projects/2593131/license"
"Akashic Tome","Vazkii","https://minecraft.curseforge.com/projects/250577","https://minecraft.curseforge.com/projects/2476494/license"
"AntiGhost","Thorgeig","https://minecraft.curseforge.com/projects/273279","https://minecraft.curseforge.com/projects/2458392/license"
"AppleSkin","squeek502","https://minecraft.curseforge.com/projects/248787","https://minecraft.curseforge.com/projects/2496585/license"
"Architect","SangarWasTaken","https://minecraft.curseforge.com/projects/264874","https://minecraft.curseforge.com/projects/2444355/license"
"ArchitectureCraft","elytra","https://ci.elytradev.com/job/elytra/job/ArchitectureCraft/job/1.12","unknown"
"Astral Sorcery","HellFirePvP","https://minecraft.curseforge.com/projects/241721","https://minecraft.curseforge.com/projects/2591271/license"
"AutoRegLib","Vazkii","https://minecraft.curseforge.com/projects/250363","https://minecraft.curseforge.com/projects/2573417/license"
"BTFU continuous rsync incremental backup","capitalthree","https://minecraft.curseforge.com/projects/246105","https://minecraft.curseforge.com/projects/2535073/license"
"Bad Wither No Cookie - Reloaded","kreezxil","https://minecraft.curseforge.com/projects/261251","https://minecraft.curseforge.com/projects/2574107/license"
"Baubles","azanor","https://minecraft.curseforge.com/projects/227083","https://minecraft.curseforge.com/projects/2518667/license"
"BdLib","bdew","https://minecraft.curseforge.com/projects/70496","https://minecraft.curseforge.com/projects/2518031/license"
"Bedrock Ores","SangarWasTaken","https://minecraft.curseforge.com/projects/275083","https://minecraft.curseforge.com/projects/2526145/license"
"Better Advancements","Way2muchnoise","https://minecraft.curseforge.com/projects/272515","https://minecraft.curseforge.com/projects/2572580/license"
"Better Builder&#39;s Wands","Portablejim","https://minecraft.curseforge.com/projects/238403","https://minecraft.curseforge.com/projects/2580273/license"
"Better Foliage","octarine_noise","https://minecraft.curseforge.com/projects/228529","https://minecraft.curseforge.com/projects/2478147/license"
"Better Placement","tterrag1098","https://minecraft.curseforge.com/projects/278406","https://minecraft.curseforge.com/projects/2481852/license"
"BetterFps","Guichaguri","https://minecraft.curseforge.com/projects/229876","https://minecraft.curseforge.com/projects/2483393/license"
"BiblioCraft","JDSinclair","https://minecraft.curseforge.com/projects/228027","https://minecraft.curseforge.com/projects/2574880/license"
"Binnie&#39;s Mods","Binnie567, mezz","https://minecraft.curseforge.com/projects/223525","https://minecraft.curseforge.com/projects/2583495/license"
"Blood Magic ","WayofTime, TehNut","https://minecraft.curseforge.com/projects/224791","https://minecraft.curseforge.com/projects/2589023/license"
"Bookshelf","Darkhax","https://minecraft.curseforge.com/projects/228525","https://minecraft.curseforge.com/projects/2577067/license"
"Botania","Vazkii","https://minecraft.curseforge.com/projects/225643","https://minecraft.curseforge.com/projects/2554929/license"
"Caliper","Darkhax","https://minecraft.curseforge.com/projects/266824","https://minecraft.curseforge.com/projects/2550118/license"
"Catwalks 4","dmf444, mincrmatt12","https://minecraft.curseforge.com/projects/296851","https://minecraft.curseforge.com/projects/2581708/license"
"Chameleon","jaquadro","https://minecraft.curseforge.com/projects/230497","https://minecraft.curseforge.com/projects/2450900/license"
"Charset Audio","asiekierka","https://minecraft.curseforge.com/projects/284580","https://minecraft.curseforge.com/projects/2586951/license"
"Charset Block Carrying","asiekierka","https://minecraft.curseforge.com/projects/284654","https://minecraft.curseforge.com/projects/2590941/license"
"Charset Crafting","asiekierka","https://minecraft.curseforge.com/projects/287664","https://minecraft.curseforge.com/projects/2595954/license"
"Charset Immersion","asiekierka","https://minecraft.curseforge.com/projects/291374","https://minecraft.curseforge.com/projects/2577359/license"
"Charset Lib","asiekierka","https://minecraft.curseforge.com/projects/284523","https://minecraft.curseforge.com/projects/2597248/license"
"Charset Storage - Locks","asiekierka","https://minecraft.curseforge.com/projects/285358","https://minecraft.curseforge.com/projects/2586946/license"
"Charset Tablet","asiekierka","https://minecraft.curseforge.com/projects/285310","https://minecraft.curseforge.com/projects/2544892/license"
"Charset Tweaks","asiekierka","https://minecraft.curseforge.com/projects/285363","https://minecraft.curseforge.com/projects/2586952/license"
"CharsetPatches","asiekierka","https://minecraft.curseforge.com/projects/278527","https://minecraft.curseforge.com/projects/2595136/license"
"Chisel","tterrag1098, Minecreatr, Drullkus","https://minecraft.curseforge.com/projects/235279","https://minecraft.curseforge.com/projects/2535884/license"
"Chisels &amp; Bits","AlgorithmX2","https://minecraft.curseforge.com/projects/231095","https://minecraft.curseforge.com/projects/2588128/license"
"ChocoCraft 3","Slayer5934","https://minecraft.curseforge.com/projects/297854","https://minecraft.curseforge.com/projects/2590408/license"
"Chunk Animator","lumien231","https://minecraft.curseforge.com/projects/236484","https://minecraft.curseforge.com/projects/2432424/license"
"CleanView","ZLainSama","https://minecraft.curseforge.com/projects/226889","https://minecraft.curseforge.com/projects/2533542/license"
"Client Tweaks","BlayTheNinth","https://minecraft.curseforge.com/projects/251407","https://minecraft.curseforge.com/projects/2562133/license"
"Clumps","jaredlll08","https://minecraft.curseforge.com/projects/256717","https://minecraft.curseforge.com/projects/2576264/license"
"CoFH Core","TeamCoFH, KingLemming","https://minecraft.curseforge.com/projects/69162","https://minecraft.curseforge.com/projects/2586247/license"
"CoFH World","TeamCoFH, skyboy026, KingLemming","https://minecraft.curseforge.com/projects/271384","https://minecraft.curseforge.com/projects/2567263/license"
"CodeChicken Lib 1.8.+","covers1624, chicken_bones","https://minecraft.curseforge.com/projects/242818","https://minecraft.curseforge.com/projects/2597168/license"
"ColorChat","K4Unl","https://minecraft.curseforge.com/projects/221276","https://minecraft.curseforge.com/projects/2485852/license"
"ColorfulWater","BillyGalbreath","https://minecraft.curseforge.com/projects/283346","https://minecraft.curseforge.com/projects/2532613/license"
"Comforts","theillusivec4","https://minecraft.curseforge.com/projects/276951","https://minecraft.curseforge.com/projects/2585000/license"
"ConnectedTexturesMod","tterrag1098","https://minecraft.curseforge.com/projects/267602","https://minecraft.curseforge.com/projects/2584026/license"
